EVID,NTSB_NO,Month,Date,Year,Time,City,State,Long,Lat,Sky Condition,Highest Injury,Number of Injuries,Aircraft
20110610X33355,ERA11FA332,6,9,2011,1414,Vero Beach,FL,274110N,0804622W,SCAT,FATL,2,152
20110610X53031,ERA11CA333,4,6,2011,1630,Bar Harbor,ME,442625N,0682121W,CLER,NONE,2,172K
20110610X73839,ERA11FA334,6,10,2011,1832,Westbrook,CT,412019N,0723029W,FEW,FATL,2,PA-24-250
20110612X02249,ERA11CA341,6,12,2011,1925,Bentonia,MS,324313N,0901744W,SCAT,MINR,1,182K
20110612X02457,ERA11LA336,6,10,2011,2235,Scarborough,ME,433227N,0702238W,CLER,SERS,2,Kitfox II
20110612X04152,ERA11CA337,6,11,2011,1430,Kingston,GA,341213N,0845826W,CLER,NONE,1,FLIGHTSTAR II-SL
20110612X12827,ERA11CA338,6,10,2011,1410,Naples,FL,002695N,0814619W,CLER,NONE,1,172R
20110612X25347,WPR11CA257,6,12,2011,330,Page,AZ,365534N,1112654W,CLER,NONE,2,M20K
20110612X25844,WPR11FA258,6,12,2011,1330,Aguila,AZ,033562N,0112580W,CLER,NONE,1,Murphy
20110612X51056,ERA11CA339,6,12,2011,1800,Bennettsville,SC,034445N,0079406W,FEW,NONE,2,RANS S-10 SAKOTA
20110612X93336,ERA11CA340,6,12,2011,2135,Monroeville,PA,040271N,0794639W,SCAT,NONE,2,M-20G
20110612X95019,WPR11FA256,6,11,2011,2301,Ukiah,OR,004550N,0118400W,UNK,FATL,3,17-31ATC
20110613X14032,CEN11FA383,6,13,2011,1447,Oswego,IL,413945N,0882152W,CLER,MINR,7,B-17G
20110613X23244,WPR11LA260,6,14,2011,125,Buttonwillow,CA,352540N,1192912W,CLER,NONE,1,G-164A
20110613X24238,WPR11CA259,6,8,2011,2110,Palo Alto,CA,372740N,0122654W,FEW,NONE,1,172P
20110614X10547,CEN11LA390,5,14,2011,1930,Grand Forks,ND,475650N,0971026W,-1,NONE,2,PA-28R-201
20110614X13243,CEN11LA386,6,13,2011,1710,Grand Forks,ND,475650N,0971026W,SCAT,NONE,2,172S
20110614X23910,ANC11CA043,6,12,2011,300,Skwentna,AK,061568N,1513835W,FEW,NONE,3,180H
20110614X24442,ERA11LA342,6,14,2011,1440,Linden,NC,035135N,0784747W,CLER,MINR,4,AA-5A
20110614X25149,ANC11CA044,6,12,2011,2255,Cold Bay,AK,551219N,1624328W,-1,NONE,4,DC-6B
20110614X25647,CEN11CA387,6,10,2011,1130,Waukegan,IL,422513N,0087523W,-1,NONE,6,B200
20110614X40527,CEN11LA388,5,28,2011,2315,Ironton,OH,038320N,0824053W,CLER,MINR,2,172
20110614X53356,CEN11CA389,6,10,2011,1325,Oakwood,OK,354423N,0984431W,CLER,NONE,1,RV6A
20110614X61304,ERA11CA343,6,14,2011,1824,Covington,GA,333734N,0835030W,FEW,NONE,1,172S
20110614X64740,ANC11CA047,6,14,2011,2230,Palmer,AK,613011N,1485628W,-1,NONE,1,PA-18-150
20110614X95301,CEN11LA384,6,12,2011,1815,Azle,TX,032597N,0973429W,CLER,SERS,1,Lancair
20110614X95920,CEN11LA385,6,13,2011,1400,Colgate,OK,343150N,0961238W,CLER,NONE,1,RV-6A
20110615X10113,DCA11CA070,5,16,2011,2230,Baltimore,MD,039178N,0763621W,-1,SERS,4,DHC8
20110615X14727,CEN11CA391,6,10,2011,1900,Houston,TX,029493N,0954013W,-1,NONE,1,F33A
20110615X31343,CEN11CA392,6,14,2011,2020,Cortez,CO,037186N,1083725W,CLER,NONE,3,172S
20110615X55541,ANC11LA048,5,28,2011,2200,Bettles Field,AK,067550N,0015380W,CLER,NONE,2,DHC-3T
